Name,Latitude,Longitude,State,Country,Operational Status
Quonset State Airport,41.5969299432,-71.4184961614,Rhode Island,United States,Active
NG Beightler Armory,40.0892143305,-83.0674428948,Ohio,United States,Active
NG Elkins AFRC,38.9545040967,-79.9791154099,West Virginia,United States,Active
NG Anthony Cometa Complex,36.0173819633,-115.200674517,Nevada,United States,Active
NG TS Camp Johnson,44.4996364569,-73.1646298114,Vermont,United States,Active
Amphib Base Coronado East,32.6678869196,-117.157059858,California,United States,Active
Warner Springs Rts,33.3401617984,-116.68138499,California,United States,Active
Carlisle Barracks,40.2073636557,-77.1688037409,Pennsylvania,United States,Active
Peterson AFB,38.822867706,-104.696062064,Colorado,United States,Active
Tooele Army Depot,40.5270428347,-112.411357721,Utah,United States,Active
Fort Sill,34.6822588176,-98.4834145201,Oklahoma,United States,Active
Fort Benning GA,32.3999496616,-84.8006217989,Georgia,United States,Active
Red River Army Depot,33.4337413314,-94.3556715243,Texas,United States,Active
Fort Monmouth Main Post,40.3070528778,-74.0583806661,New Jersey,United States,Inactive
Destin Moreno Point,30.4110996281,-86.4989034217,Florida,United States,Active
MCSF Blount Island (FL),30.4013274303,-81.5250231825,Florida,United States,Active
Brooklyn NY,40.5814831188,-73.8816296342,New York,United States,Active
Northwest Chesapeake VA,36.5590985515,-76.2674854841,Virginia,United States,Active
Naval Research Lab,38.8240416139,-77.0233529625,District of Columbia,United States,Active
FLC Fuel Depot Heckscher,30.4001829676,-81.6274334623,Florida,United States,Active
OLF Bravo,32.7964731631,-88.8318661019,Mississippi,United States,Active
Eglin Air Force Auxiliary Field 6,30.6317649852,-86.7409720552,Florida,United States,Active
Fort Eustis,37.1322038995,-76.5886922923,Virginia,United States,Active
Pittsburgh IAP (ARS),40.4935734315,-80.2110502515,Pennsylvania,United States,Active
NG MTA Camp Clark Nevada,37.8202969363,-94.2914729598,Missouri,United States,Active
NG Arden Hills Army Training Site,45.0948962078,-93.161098097,Minnesota,United States,Active
NOLF Silverhill,30.5619554651,-87.809337776,Alabama,United States,Active
